_id,Date,Gender,Race,Age at Booking,Current Age
1,2017-07-01,M,B,45,48
2,2017-07-01,M,W,27,29
3,2017-07-01,M,B,24,25
4,2017-07-01,M,B,28,29
5,2017-07-01,M,B,29,30
6,2017-07-01,M,W,58,59
7,2017-07-01,M,B,27,28
8,2017-07-01,M,B,27,28
9,2017-07-01,M,B,44,45
10,2017-07-01,M,W,24,25
11,2017-07-01,M,B,27,28
12,2017-07-01,M,B,23,24
13,2017-07-01,M,B,30,31
14,2017-07-01,M,B,31,32
15,2017-07-01,M,W,25,25
16,2017-07-01,M,B,18,18
17,2017-07-01,M,W,24,25
18,2017-07-01,M,W,26,26
19,2017-07-01,M,B,59,60
20,2017-07-01,M,W,24,25
21,2017-07-01,M,W,26,27
22,2017-07-01,M,W,34,35
23,2017-07-01,M,W,29,30
24,2017-07-01,M,B,32,32
25,2017-07-01,M,B,56,57
26,2017-07-01,M,W,29,29
27,2017-07-01,M,B,26,27
28,2017-07-01,M,B,20,21
29,2017-07-01,M,B,30,30
30,2017-07-01,M,B,22,22
31,2017-07-01,M,W,28,28
32,2017-07-01,M,B,74,74
33,2017-07-01,M,B,32,32
34,2017-07-01,M,B,33,34
35,2017-07-01,M,B,52,53
36,2017-07-01,M,W,51,51
37,2017-07-01,M,B,46,46
38,2017-07-01,M,B,52,52
39,2017-07-01,M,B,47,47
40,2017-07-01,M,B,26,27
41,2017-07-01,M,B,51,52
42,2017-07-01,M,B,21,22
43,2017-07-01,M,B,37,37
44,2017-07-01,M,W,27,28
45,2017-07-01,M,B,22,23
46,2017-07-01,M,B,21,21
47,2017-07-01,M,W,38,39
48,2017-07-01,M,B,26,26
49,2017-07-01,M,W,27,27
50,2017-07-01,M,B,44,45
51,2017-07-01,M,W,38,38
52,2017-07-01,M,W,35,36
53,2017-07-01,M,B,34,35
54,2017-07-01,M,W,53,53
55,2017-07-01,M,B,37,37
56,2017-07-01,M,B,31,31
57,2017-07-01,M,B,19,19
58,2017-07-01,M,W,46,46
59,2017-07-01,M,W,33,33
60,2017-07-01,M,B,30,30
61,2017-07-01,M,B,31,32
62,2017-07-01,M,B,27,28
63,2017-07-01,M,B,47,47
64,2017-07-01,M,W,39,39
65,2017-07-01,M,B,23,23
66,2017-07-01,M,B,53,53
67,2017-07-01,M,B,23,23
68,2017-07-01,M,H,43,43
69,2017-07-01,M,W,24,24
70,2017-07-01,M,W,27,27
71,2017-07-01,M,W,27,27
72,2017-07-01,M,W,29,29
73,2017-07-01,M,B,33,33
74,2017-07-01,M,B,24,24
75,2017-07-01,M,B,18,19
76,2017-07-01,M,W,38,38
77,2017-07-01,M,B,40,41
78,2017-07-01,M,W,28,28
79,2017-07-01,M,B,21,21
80,2017-07-01,M,W,46,46
81,2017-07-01,M,B,31,31
82,2017-07-01,M,W,30,30
83,2017-07-01,M,W,24,24
84,2017-07-01,M,W,41,41
85,2017-07-01,M,W,38,39
86,2017-07-01,M,W,37,37
87,2017-07-01,M,B,51,51
88,2017-07-01,M,W,26,26
89,2017-07-01,M,W,57,57
90,2017-07-01,M,B,35,36
91,2017-07-01,M,W,32,32
92,2017-07-01,M,B,52,53
93,2017-07-01,M,W,28,28
94,2017-07-01,M,W,35,35
95,2017-07-01,M,W,44,45
96,2017-07-01,M,W,20,22
97,2017-07-01,M,W,48,50
98,2017-07-01,M,B,29,31
99,2017-07-01,M,B,37,38
100,2017-07-01,M,B,24,26
101,2017-07-01,M,B,48,49
102,2017-07-01,M,W,30,31
103,2017-07-01,M,W,32,34
104,2017-07-01,M,B,25,26
105,2017-07-01,M,W,30,31
106,2017-07-01,M,B,23,24
107,2017-07-01,M,B,35,36
108,2017-07-01,M,W,28,29
109,2017-07-01,M,B,24,25
110,2017-07-01,M,W,45,46
111,2017-07-01,M,W,28,28
112,2017-07-01,M,B,28,29
113,2017-07-01,M,W,37,38
114,2017-07-01,M,B,27,28
115,2017-07-01,M,B,31,32
116,2017-07-01,M,W,24,25
117,2017-07-01,M,W,33,33
118,2017-07-01,M,B,56,56
119,2017-07-01,M,B,26,27
120,2017-07-01,M,B,43,43
121,2017-07-01,M,W,27,28
122,2017-07-01,M,B,24,25
123,2017-07-01,M,W,29,30
124,2017-07-01,M,B,41,41
125,2017-07-01,M,B,49,50
126,2017-07-01,M,B,32,33
127,2017-07-01,M,B,27,28
128,2017-07-01,M,B,56,56
129,2017-07-01,M,B,27,28
130,2017-07-01,M,B,24,25
131,2017-07-01,M,B,24,25
132,2017-07-01,M,B,23,24
133,2017-07-01,M,B,27,28
134,2017-07-01,M,B,21,21
135,2017-07-01,M,W,21,21
136,2017-07-01,M,B,23,23
137,2017-07-01,M,B,22,22
138,2017-07-01,M,B,30,31
139,2017-07-01,M,B,20,20
140,2017-07-01,M,B,22,22
141,2017-07-01,M,B,20,20
142,2017-07-01,M,B,25,25
143,2017-07-01,M,W,24,24
144,2017-07-01,M,B,23,24
145,2017-07-01,M,B,21,21
146,2017-07-01,M,B,21,22
147,2017-07-01,M,W,43,43
148,2017-07-01,M,B,39,39
149,2017-07-01,M,W,33,34
150,2017-07-01,M,B,23,24
151,2017-07-01,M,B,24,24
152,2017-07-01,M,B,33,34
153,2017-07-01,M,B,24,24
154,2017-07-01,M,B,26,26
155,2017-07-01,M,W,55,55
156,2017-07-01,M,B,24,24
157,2017-07-01,M,W,22,22
158,2017-07-01,M,B,22,22
159,2017-07-01,M,W,22,22
160,2017-07-01,M,W,28,28
161,2017-07-01,M,B,25,25
162,2017-07-01,M,B,16,17
163,2017-07-01,M,B,16,16
164,2017-07-01,M,B,15,16
165,2017-07-01,M,B,16,17
166,2017-07-01,M,B,16,17
167,2017-07-01,M,B,16,16
168,2017-07-01,M,B,17,17
169,2017-07-01,M,B,17,17
170,2017-07-01,M,B,16,16
171,2017-07-01,M,B,15,15
172,2017-07-01,M,B,15,16
173,2017-07-01,M,B,16,16
174,2017-07-01,M,B,17,17
175,2017-07-01,M,B,16,16
176,2017-07-01,M,B,15,15
177,2017-07-01,M,A,17,17
178,2017-07-01,M,B,17,17
179,2017-07-01,M,W,17,17
180,2017-07-01,M,W,51,54
181,2017-07-01,M,B,31,33
182,2017-07-01,M,W,45,46
183,2017-07-01,M,B,18,19
184,2017-07-01,M,B,57,58
185,2017-07-01,M,B,25,26
186,2017-07-01,M,B,52,53
187,2017-07-01,M,B,32,33
188,2017-07-01,M,B,34,35
189,2017-07-01,M,W,39,40
190,2017-07-01,M,B,18,19
191,2017-07-01,M,W,32,33
192,2017-07-01,M,B,23,23
193,2017-07-01,M,W,30,30
194,2017-07-01,M,B,64,65
195,2017-07-01,M,W,43,44
196,2017-07-01,M,W,46,47
197,2017-07-01,M,B,26,27
198,2017-07-01,M,B,19,20
199,2017-07-01,M,B,36,36
200,2017-07-01,M,W,21,22
201,2017-07-01,M,W,45,46
202,2017-07-01,M,B,27,27
203,2017-07-01,M,B,19,19
204,2017-07-01,M,W,42,42
205,2017-07-01,M,B,43,44
206,2017-07-01,M,B,27,27
